Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,46,6317,4186,3349,421,1101,5,1030,4883,215,1048
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem,46,6317,4186,3349,421,1101,5,1030,4883,215,1048
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\src,40,6203,4106,3287,421,1067,5,1030,4883,215,1048
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\src\btg,40,6203,4106,3287,421,1067,5,1030,4883,215,1048
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\src\btg\common,1,85,14,13,0,21,0,50,145,5,25
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\src\btg\controller,11,1569,921,798,68,255,4,393,2091,72,351
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\src\btg\dao,5,636,318,243,19,172,1,146,824,38,196
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\src\btg\dto,7,592,447,320,59,85,0,60,250,32,157
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\src\btg\meta,5,1133,901,694,97,146,0,86,212,0,0
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\src\btg\model,5,912,599,418,120,174,0,139,363,26,109
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\src\btg\service,5,1228,876,779,54,202,0,150,973,37,189
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\src\btg\session,1,48,30,22,4,12,0,6,25,5,21
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\test,6,114,80,62,0,34,0,0,0,0,0
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\test\btg,1,19,15,12,0,4,0,0,0,0,0
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\test\btg\controller,1,19,15,12,0,4,0,0,0,0,0
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\test\budget,5,95,65,50,0,30,0,0,0,0,0
C:\Users\davebaclayon\Documents\Dave\CS140 Software Engineering\BTGGradeSubmissionSystem\test\budget\model,5,95,65,50,0,30,0,0,0,0,0
