Word,Count
*,1103
the,951
,388
to,268
-,200
of,156
database,146
(Dave),116
is,115
by,108
Purpose:,106
@param:,105
from,101
if,96
2016,91
in,88
October,86
that,80
error,79
account,79
@return:,79
list,78
used,76
holds,72
for,68
and,66
be,66
@return,60
a,59
key,58
jsonObject,58
all,57
passed,56
History:,52
Baclayon,52
Development,52
Dave,52
B,52
Christian,52
Developer:,50
version,50
called,49
will,49
created,46
it,45
accounts,44
course,44
AccountDto,41
details,41
student,41
Main,40
file,39
there,39
are,39
function,37
It,35
message,34
client,33
errors,33
Created,32
an,32
store,31
Receives,31
response,30
when,29
hold,29
JSONObject,29
any,29
ID,28
model,28
object,28
as,28
Service,27
=,26
new,25
calling,25
grade,24
or,24
complete,22
strand,22
calls,22
@param,22
Gets,22
\18,\,22
Sets,22
none,21
void,20
stores,20
Returns,20
json,20
File,20
insert,18
CourseModel,18
\22,\,18
AccountModel,18
\23,\,18
Error,18
grades,18
retrieved,18
CourseDto,18
this,17
checking,17
Checks,16
data,16
If,16
occurs,16
exception,16
(stores,16
add,16
set,16
teacher,15
courses,15
front-end,14
depending,14
This,14
{,14
added,14
on,14
array,13
entry,13
retrieve,13
not,12
GradeModel,12
back-end,12
\exists,\,12
dto,12
dao,12
exists,12
************************************************************,12
setting,12
datastore,12
attribute,12
\25,\,12
with,11
updated,11
Course,11
\},\,10
return,10
methods,10
initialize,10
JS,10
\"\@VERSION@"\\,10
GPA,10
type,10
\"\slim3-gen"\,\,10
containing,10
date,10
back,10
singleton,10
update,10
@javax.annotation.Generated(value,10
\"\2016-11-09\,10
Adds,10
send,10
deleted,9
DTO,9
successful,9
unique,8
'id',8
EMAIL,8
creating,8
DAO,8
check,8
one,8
status,8
'key',8
Controller,8
entity,8
accessing,8
soft,8
create,8
courseID,8
ADDRESS,8
MetaClass,8
students,7
contains,7
access,7
Model,7
JSONArray,7
then,6
upon,6
functions,6
returning,6
transaction,6
\deleteCourse(),\,6
happen,6
$http.post(),6
inserting,6
\"\action"\\,6
item,6
\insertStrand(),\,6
List<GradeModel>,6
PUT,6
\19,\,6
action,6
Function,6
GradeDto,6
units,6
List<AccountModel>,6
getCourseById(),6
HERE,6
datastore),6
method,6
Name,6
Inserts,6
getAllTeacherAccounts(),6
Navigation,6
\24,\,6
gpa,6
Updates,6
unable,6
command,6
adding,6
received,6
Getting,6
Retrieves,6
Different,6
\insertCourse(),\,6
\updateCourse(),\,6
each,6
delete,6
November,5
\9,\,5
submits,5
already,5
stored,5
Coding,5
same,5
Standards,5
computes,5
List<AccountDto>,5
above,4
Clark,4
\run(),\,4
reviewed,4
computeGPA(),4
AccountService,4
LINKS,4
false,4
Deletes,4
exceptions,4
\unique,\,4
courseId,4
insertAccount,4
(non-Javadoc),4
getters,4
sa,4
field,4
2015,4
address,4
Guisadio,4
05_Quiz_Output,4
prints,4
JSON,4
ANG,4
objects,4
@see,4
These,4
getAllCourses,4
after,4
errorList,4
StrandDto,4
major,4
fields,4
Dto,4
code,4
\successful,\,4
catch,4
--------------------------------------------------------------------------------,4
Global,4
deleteAccount,4
COMMENTS,4
cmd,4
submit,4
\insertAccount(),\,4
everything,4
\deleteAccount(),\,4
Add,4
setters,4
yet,4
updateAccount,4
serves,4
0.01,4
BestStudentDto,4
by:,4
Transfers,4
sample,4
AccountDao,4
Link,4
getStudentsByStrand(),4
StrandModel,4
messages,4
best,4
'accountService.computeGPA(gradesArray);',4
getAllStrands(),4
every,4
SA,4
nothing,4
getAllGradesByAccountId(),4
getAllCourses(),4
org.slim3.controller.Controller#run(),4
element,4
\16:15:52"\)\,4
\26,\,4
\insertGrade(),\,4
List<CourseDto>,4
Computing,4
email,4
given,4
The,4
side,4
–,4
AccountId,4
\updateAccount(),\,4
reference,4
getAccountById(),4
Peter,4
},4
Used,4
RegisterBentoController,4
Rococo,4
\13:45:53"\)\,3
Data,3
Access,3
returns,3
@author,2
Dao,2
GradeController,2
getAllStudentGradesByCourseController(),2
\bestStudentDto.setLastName(jsonObject.getString("\courseName"\));\,2
\"\end"\\,2
Content,2
TODO:,2
handling,2
assumed,2
getAllStrandS(),2
Rights,2
1,2
ERRORS,2
\deleteAccountController(),\,2
final,2
Get,2
NGA,2
bestStudentDto.addError(e.toString());,2
know,2
getAllTeacherAccounts,2
(C),2
duplicates,2
IMPLEMENT,2
no,2
Type,2
BestStudentController,2
yearLevel,2
accountId,2
KUNG,2
FUNCTION,2
getAllStudentAccounts(),2
ang,2
StudentController,2
SYS_REDIRECT_BUDGET_LIST,2
Adding,2
total,2
SABUTI,2
\updateGrade(),\,2
Nawng,2
getCourseByName(),2
\bestStudentDto.setGradeId(Long.parseLong(jsonObject.getString("\gradeId"\)));\,2
GradeService,2
\bestStudentDto.setCourseId(Long.parseLong(jsonObject.getString("\courseId"\)));\,2
accountDto,2
LATER,2
page,2
copying,2
getAllStudentAccounts,2
consistencies,2
Technologies,2
updateGradeController,2
REDIRECT,2
\getGradeById(),\,2
All,2
BestStudentService,2
getAllStudentGradesByCourse(),2
OUT,2
submitGradeController,2
COMMENT,2
\updateAccountController(),\,2
getAccountByIdController(),2
getAccountById,2
\bestStudentDto.setAccountId(Long.parseLong(jsonObject.getString("\accountId"\)));\,2
Octover,2
Address,2
(Exception,2
updating,2
GIKAN,2
change,2
accountDto;,2
List<StudentGradeDto>,2
ADI,2
getCourseById,2
codes,2
\"\start"\\,2
\getAllGradesByCourse(),\,2
Point,2
NI,2
\bestStudentDto.setGrade(jsonObject.getString("\courseName"\));\,2
emailAddress),2
try,2
prohibited,2
Objects,2
List<CourseModel>,2
BestStudentDao,2
StrandDao,2
id,2
budget.jsp,2
IMO,2
ahahahahaha,2
public,2
gi,2
BestStudentModel,2
weight,2
History,2
\file,\,2
getStudentsByStrandController(),2
Unauthorized,2
updateGrade(),2
courses),2
bestStudentDto,2
modified,2
AccountDto();,2
Developed,2
StrandService,2
Version,2
UNSA,2
[05/07/2015],2
database/datastore,2
Initial,2
\13:45:54"\)\,2
initial,2
bestStudentController.insertBestStudentController(jsonObject);,2
Inc,2
Proprietary,2
Storing,2
confidential,2
e),2
\updateGradeController(),\,2
\submitGradeController(),\,2
FOLLOWING:,2
MAPLANNED,2
Traverse,2
recompute,2
COMMON,2
Grade,2
GlobalConstands,2
String,2
CourseDTO,2
\insertAccountController(),\,2
Plan:,2
missing,2
Id,2
TEACHER,2
Copyright,2
GradeDao,2
List,2
queried,2
strictly,2
\bestStudentDto.setId(jsonObject.getString("\courseName"\));\,2
StrandController,2
general,2
submitted,2
\"\/budget"\;\,2
\21,\,2
well,2
Average,2
OBJECT,2
changePasswordController(),2
Base,2
\bestStudentDto.setStatus(jsonObject.getString("\courseName"\));\,2
conventions,2
Modified,2
CourseId,2
Email,2
IPASS,2
password,2
parentKey,2
medium,2
FORWARD,2
static,2
\bestStudentDto.setFirstName(jsonObject.getString("\courseName"\));\,2
bestStudentDtoList.add(bestStudentDto);,2
PARA,2
A,2
comments,2
duha,2
getAccountByEmailAddress(),2
@version,2
2,2
budget,2
\bestStudentDto.setCourseName(jsonObject.getString("\courseName"\));\,2
THIS,2
getAllCoursesController(),2
Reserved,2
akong,2
purpose,2
NINYO,2
CourseController,2
Clears,2
