File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\common\GlobalConstants.java,85,13,12,0,22,0,50,145,5,25
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\controller\AccountController.java,382,213,190,14,92,13,77,722,13,79
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\controller\BestStudentController.java,134,70,59,6,24,0,40,137,5,20
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\controller\CourseController.java,284,158,139,11,66,9,60,520,13,76
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\controller\GradeController.java,194,120,104,8,27,0,47,409,9,55
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\controller\IndexController.java,18,11,8,1,7,0,0,0,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\controller\StrandController.java,111,75,63,6,25,0,11,61,6,23
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dao\AccountDao.java,233,101,78,5,79,13,53,380,9,49
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dao\BestStudentDao.java,42,23,17,2,14,0,5,20,5,20
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dao\CourseDao.java,174,73,61,3,59,11,42,329,9,61
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dao\GradeDao.java,111,57,45,3,26,1,28,164,7,34
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dao\StrandDao.java,64,32,28,1,19,0,13,68,6,23
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dto\AccountDto.java,184,130,93,18,46,0,8,47,6,35
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dto\BaseDto.java,57,18,13,1,9,0,30,111,5,32
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dto\BestStudentDto.java,93,81,58,11,7,0,5,20,5,20
