File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\common\GlobalConstants.java,85,14,13,0,21,0,50,145,5,25
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\controller\AccountController.java,376,246,218,18,55,2,75,598,13,73
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\controller\AdminPageController.java,17,9,6,1,3,0,5,21,5,21
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\controller\BestStudentController.java,134,70,59,6,24,0,40,137,5,20
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\controller\BestStudentsController.java,144,81,68,8,23,0,40,137,5,20
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\controller\CourseController.java,284,180,159,12,44,0,60,430,13,69
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\controller\GradeController.java,275,185,165,11,42,2,48,404,10,62
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\controller\IndexController.java,18,11,8,1,7,0,0,0,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\controller\LoginController.java,171,41,36,2,26,0,104,261,5,21
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\controller\StrandController.java,111,75,63,6,25,0,11,61,6,23
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\controller\StudentPageController.java,17,9,6,1,3,0,5,21,5,21
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\controller\TeacherPageController.java,17,9,6,1,3,0,5,21,5,21
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\dao\AccountDao.java,188,86,60,6,48,0,54,298,10,56
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\dao\BestStudentDao.java,76,44,36,2,24,0,8,42,5,20
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\dao\CourseDao.java,165,78,59,5,45,0,42,244,9,55
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\dao\GradeDao.java,143,78,60,5,36,1,29,172,8,42
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\dao\StrandDao.java,64,32,28,1,19,0,13,68,6,23
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\dto\AccountDto.java,184,130,93,18,46,0,8,47,6,35
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\dto\BaseDto.java,57,18,13,1,9,0,30,111,5,32
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\dto\BestStudentDto.java,93,81,58,11,7,0,5,20,5,20
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\dto\CourseDto.java,88,74,53,10,7,0,7,35,6,33
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\dto\GradeDto.java,65,53,38,7,7,0,5,19,5,19
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\dto\StrandDto.java,48,39,28,5,4,0,5,18,5,18
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\dto\StudentGradeDto.java,57,52,37,7,5,0,0,0,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\meta\AccountModelMeta.java,310,248,200,26,37,0,25,58,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\meta\BestStudentModelMeta.java,237,189,146,21,30,0,18,44,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\meta\CourseModelMeta.java,222,176,136,18,29,0,17,42,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\meta\GradeModelMeta.java,191,151,113,16,26,0,14,36,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\meta\StrandModelMeta.java,173,137,99,16,24,0,12,32,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\model\AccountModel.java,256,172,121,31,54,0,30,91,6,31
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\model\BestStudentModel.java,191,126,88,25,38,0,27,68,5,20
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\model\CourseModel.java,167,119,83,24,20,0,28,71,5,21
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\model\GradeModel.java,158,98,68,21,33,0,27,67,5,19
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\model\StrandModel.java,140,84,58,19,29,0,27,66,5,18
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\service\AccountService.java,470,333,301,18,72,0,65,453,9,54
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\service\BestStudentService.java,126,97,86,6,20,0,9,23,5,20
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\service\CourseService.java,309,216,189,15,52,0,41,309,9,52
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\service\GradeService.java,260,188,167,13,47,0,25,137,8,40
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\service\StrandService.java,64,41,35,2,12,0,11,52,6,23
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\session\SessionManager.java,48,30,22,4,12,0,6,25,5,21
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\test\btg\controller\BestStudentsControllerTest.java,19,15,12,0,4,0,0,0,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\test\budget\model\AccountModelTest.java,19,13,10,0,6,0,0,0,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\test\budget\model\BestStudentModelTest.java,19,13,10,0,6,0,0,0,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\test\budget\model\CourseModelTest.java,19,13,10,0,6,0,0,0,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\test\budget\model\GradeModelTest.java,19,13,10,0,6,0,0,0,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\test\budget\model\StrandModelTest.java,19,13,10,0,6,0,0,0,0,0
